County,Month,Year,Application Status,Number of Applications
Butte,9,2011,Applications denied,122
Butte,9,2011,Applications/requests for restoration received,415
Butte,9,2011,Applications/restorations approved,126
Butte,9,2011,Total applications/restorations on hand,715
Butte,9,2012,Applications denied,178
Butte,9,2012,Applications/requests for restoration received,347
Butte,9,2012,Applications/restorations approved,133
Butte,9,2012,Total applications/restorations on hand,612
Butte,9,2013,Applications denied,163
Butte,9,2013,Applications/requests for restoration received,351
Butte,9,2013,Applications/restorations approved,133
Butte,9,2013,Total applications/restorations on hand,678
Butte,9,2014,Applications denied,140
Butte,9,2014,Applications/requests for restoration received,337
Butte,9,2014,Applications/restorations approved,153
Butte,9,2014,Total applications/restorations on hand,583
Butte,9,2015,Applications denied,157
Butte,9,2015,Applications/requests for restoration received,331
Butte,9,2015,Applications/restorations approved,127
Butte,9,2015,Total applications/restorations on hand,580
Contra Costa,1,2010,Applications denied,379
Contra Costa,1,2010,Applications/requests for restoration received,984
Contra Costa,1,2010,Applications/restorations approved,406
Contra Costa,1,2010,Total applications/restorations on hand,2114
Contra Costa,1,2011,Applications denied,401
Contra Costa,1,2011,Applications/requests for restoration received,1047
Contra Costa,1,2011,Applications/restorations approved,421
Contra Costa,1,2011,Total applications/restorations on hand,2161
Contra Costa,1,2012,Applications denied,355
Contra Costa,1,2012,Applications/requests for restoration received,969
Contra Costa,1,2012,Applications/restorations approved,332
Contra Costa,1,2012,Total applications/restorations on hand,2005
Contra Costa,1,2013,Applications denied,477
Contra Costa,1,2013,Applications/requests for restoration received,1110
Contra Costa,1,2013,Applications/restorations approved,326
Contra Costa,1,2013,Total applications/restorations on hand,1509
Contra Costa,1,2014,Applications denied,436
Contra Costa,1,2014,Applications/requests for restoration received,1084
Contra Costa,1,2014,Applications/restorations approved,388
Contra Costa,1,2014,Total applications/restorations on hand,1683
Contra Costa,1,2015,Applications denied,372
Contra Costa,1,2015,Applications/requests for restoration received,853
Contra Costa,1,2015,Applications/restorations approved,282
Contra Costa,1,2015,Total applications/restorations on hand,1376
Contra Costa,10,2010,Applications denied,405
Contra Costa,10,2010,Applications/requests for restoration received,1030
Contra Costa,10,2010,Applications/restorations approved,489
Contra Costa,10,2010,Total applications/restorations on hand,2201
Contra Costa,10,2011,Applications denied,354
Contra Costa,10,2011,Applications/requests for restoration received,884
Contra Costa,10,2011,Applications/restorations approved,460
Contra Costa,10,2011,Total applications/restorations on hand,2098
Contra Costa,10,2012,Applications denied,566
Contra Costa,10,2012,Applications/requests for restoration received,995
Contra Costa,10,2012,Applications/restorations approved,407
Contra Costa,10,2012,Total applications/restorations on hand,1767
Contra Costa,10,2013,Applications denied,499
Contra Costa,10,2013,Applications/requests for restoration received,995
Contra Costa,10,2013,Applications/restorations approved,353
Contra Costa,10,2013,Total applications/restorations on hand,1834
Contra Costa,10,2014,Applications denied,472
Contra Costa,5,2015,Applications denied,356
Contra Costa,10,2014,Applications/requests for restoration received,847
Contra Costa,10,2014,Applications/restorations approved,412
Contra Costa,10,2014,Total applications/restorations on hand,1671
Contra Costa,11,2010,Applications denied,393
Contra Costa,11,2010,Applications/requests for restoration received,963
Contra Costa,11,2010,Applications/restorations approved,404
Contra Costa,11,2010,Total applications/restorations on hand,2115
Contra Costa,11,2011,Applications denied,332
Contra Costa,11,2011,Applications/requests for restoration received,883
Contra Costa,11,2011,Applications/restorations approved,447
Contra Costa,11,2011,Total applications/restorations on hand,2035
Contra Costa,11,2012,Applications denied,398
Contra Costa,11,2012,Applications/requests for restoration received,893
Contra Costa,11,2012,Applications/restorations approved,346
Contra Costa,11,2012,Total applications/restorations on hand,1457
Contra Costa,11,2013,Applications denied,366
Contra Costa,11,2013,Applications/requests for restoration received,775
Contra Costa,11,2013,Applications/restorations approved,291
Contra Costa,11,2013,Total applications/restorations on hand,1548
Contra Costa,11,2014,Applications denied,306
Contra Costa,11,2014,Applications/requests for restoration received,698
Contra Costa,11,2014,Applications/restorations approved,266
Contra Costa,11,2014,Total applications/restorations on hand,1292
Contra Costa,12,2010,Applications denied,389
Contra Costa,12,2010,Applications/requests for restoration received,912
Contra Costa,12,2010,Applications/restorations approved,447
Contra Costa,12,2010,Total applications/restorations on hand,2088
Contra Costa,12,2011,Applications denied,328
Contra Costa,12,2011,Applications/requests for restoration received,794
Contra Costa,12,2011,Applications/restorations approved,352
Contra Costa,12,2011,Total applications/restorations on hand,1862
Contra Costa,12,2012,Applications denied,413
Contra Costa,12,2012,Applications/requests for restoration received,805
Contra Costa,12,2012,Applications/restorations approved,355
Contra Costa,12,2012,Total applications/restorations on hand,1337
Contra Costa,12,2013,Applications denied,440
Contra Costa,12,2013,Applications/requests for restoration received,882
Contra Costa,12,2013,Applications/restorations approved,354
Contra Costa,12,2013,Total applications/restorations on hand,1616
Contra Costa,12,2014,Applications denied,403
Contra Costa,12,2014,Applications/requests for restoration received,858
Contra Costa,12,2014,Applications/restorations approved,356
Contra Costa,12,2014,Total applications/restorations on hand,1435
Contra Costa,2,2010,Applications denied,351
Contra Costa,2,2010,Applications/requests for restoration received,813
Contra Costa,2,2010,Applications/restorations approved,368
Contra Costa,2,2010,Total applications/restorations on hand,2015
Contra Costa,2,2011,Applications denied,379
Contra Costa,2,2011,Applications/requests for restoration received,750
Contra Costa,2,2011,Applications/restorations approved,349
Contra Costa,2,2011,Total applications/restorations on hand,1953
Contra Costa,2,2012,Applications denied,337
Contra Costa,2,2012,Applications/requests for restoration received,773
Contra Costa,2,2012,Applications/restorations approved,353
Contra Costa,2,2012,Total applications/restorations on hand,1925
Contra Costa,2,2013,Applications denied,423
Contra Costa,2,2013,Applications/requests for restoration received,797
Contra Costa,2,2013,Applications/restorations approved,302
Contra Costa,2,2013,Total applications/restorations on hand,1300
Contra Costa,2,2014,Applications denied,417
Contra Costa,2,2014,Applications/requests for restoration received,804
Contra Costa,2,2014,Applications/restorations approved,353
Contra Costa,2,2014,Total applications/restorations on hand,1425
Contra Costa,2,2015,Applications denied,333
Contra Costa,2,2015,Applications/requests for restoration received,697
Contra Costa,2,2015,Applications/restorations approved,226
Contra Costa,2,2015,Total applications/restorations on hand,1227
Contra Costa,3,2010,Applications denied,404
Contra Costa,3,2010,Applications/requests for restoration received,979
Contra Costa,3,2010,Applications/restorations approved,468
Contra Costa,3,2010,Total applications/restorations on hand,2153
Contra Costa,3,2011,Applications denied,396
Contra Costa,3,2011,Applications/requests for restoration received,918
Contra Costa,3,2011,Applications/restorations approved,407
Contra Costa,3,2011,Total applications/restorations on hand,2019
Contra Costa,3,2012,Applications denied,347
Contra Costa,3,2012,Applications/requests for restoration received,831
Contra Costa,3,2012,Applications/restorations approved,346
Contra Costa,3,2012,Total applications/restorations on hand,1913
Contra Costa,3,2013,Applications denied,431
Contra Costa,3,2013,Applications/requests for restoration received,902
Contra Costa,3,2013,Applications/restorations approved,340
Contra Costa,3,2013,Total applications/restorations on hand,1343
Contra Costa,3,2014,Applications denied,438
Contra Costa,3,2014,Applications/requests for restoration received,866
Contra Costa,3,2014,Applications/restorations approved,346
Contra Costa,3,2014,Total applications/restorations on hand,1358
Contra Costa,3,2015,Applications denied,380
Contra Costa,3,2015,Applications/requests for restoration received,851
Contra Costa,3,2015,Applications/restorations approved,283
Contra Costa,3,2015,Total applications/restorations on hand,1363
Contra Costa,4,2010,Applications denied,411
Contra Costa,4,2010,Applications/requests for restoration received,1058
Contra Costa,4,2010,Applications/restorations approved,442
Contra Costa,4,2010,Total applications/restorations on hand,2176
Contra Costa,4,2011,Applications denied,378
Contra Costa,4,2011,Applications/requests for restoration received,911
Contra Costa,4,2011,Applications/restorations approved,368
Contra Costa,4,2011,Total applications/restorations on hand,1987
Contra Costa,4,2012,Applications denied,305
Contra Costa,4,2012,Applications/requests for restoration received,783
Contra Costa,4,2012,Applications/restorations approved,377
Contra Costa,4,2012,Total applications/restorations on hand,1831
Contra Costa,4,2013,Applications denied,370
Contra Costa,4,2013,Applications/requests for restoration received,919
Contra Costa,4,2013,Applications/restorations approved,328
Contra Costa,4,2013,Total applications/restorations on hand,1333
Contra Costa,4,2014,Applications denied,384
Contra Costa,4,2014,Applications/requests for restoration received,899
Contra Costa,4,2014,Applications/restorations approved,375
Contra Costa,4,2014,Total applications/restorations on hand,1357
Contra Costa,4,2015,Applications denied,333
Contra Costa,4,2015,Applications/requests for restoration received,789
Contra Costa,4,2015,Applications/restorations approved,305
Contra Costa,4,2015,Total applications/restorations on hand,1330
Contra Costa,5,2010,Applications denied,408
Contra Costa,5,2010,Applications/requests for restoration received,967
Contra Costa,5,2010,Applications/restorations approved,441
Contra Costa,5,2010,Total applications/restorations on hand,2114
Contra Costa,5,2011,Applications denied,349
Contra Costa,5,2011,Applications/requests for restoration received,860
Contra Costa,5,2011,Applications/restorations approved,363
Contra Costa,5,2011,Total applications/restorations on hand,1950
Contra Costa,5,2012,Applications denied,352
Contra Costa,5,2012,Applications/requests for restoration received,1021
Contra Costa,5,2012,Applications/restorations approved,379
Contra Costa,5,2012,Total applications/restorations on hand,2041
Contra Costa,5,2013,Applications denied,375
Contra Costa,5,2013,Applications/requests for restoration received,891
Contra Costa,5,2013,Applications/restorations approved,285
Contra Costa,5,2013,Total applications/restorations on hand,1382
Contra Costa,5,2014,Applications denied,370
Contra Costa,5,2014,Applications/requests for restoration received,832
Contra Costa,5,2014,Applications/restorations approved,290
Contra Costa,5,2014,Total applications/restorations on hand,1308
Contra Costa,5,2015,Applications/requests for restoration received,786
Contra Costa,5,2015,Applications/restorations approved,271
Contra Costa,5,2015,Total applications/restorations on hand,1309
Contra Costa,6,2010,Applications denied,419
Contra Costa,6,2010,Applications/requests for restoration received,1162
Contra Costa,6,2010,Applications/restorations approved,466
Contra Costa,6,2010,Total applications/restorations on hand,2266
Contra Costa,6,2011,Applications denied,394
Contra Costa,6,2011,Applications/requests for restoration received,1046
Contra Costa,6,2011,Applications/restorations approved,379
Contra Costa,6,2011,Total applications/restorations on hand,2126
Contra Costa,6,2012,Applications denied,428
Contra Costa,6,2012,Applications/requests for restoration received,1101
Contra Costa,6,2012,Applications/restorations approved,372
Contra Costa,6,2012,Total applications/restorations on hand,2230
Contra Costa,6,2013,Applications denied,381
Contra Costa,6,2013,Applications/requests for restoration received,844
Contra Costa,6,2013,Applications/restorations approved,322
Contra Costa,6,2013,Total applications/restorations on hand,1404
Contra Costa,6,2014,Applications denied,384
Contra Costa,6,2014,Applications/requests for restoration received,924
Contra Costa,6,2014,Applications/restorations approved,310
Contra Costa,6,2014,Total applications/restorations on hand,1429
Contra Costa,6,2015,Applications denied,392
Contra Costa,6,2015,Applications/requests for restoration received,890
Contra Costa,6,2015,Applications/restorations approved,301
Contra Costa,6,2015,Total applications/restorations on hand,1427
Contra Costa,7,2010,Applications denied,442
Contra Costa,7,2010,Applications/requests for restoration received,1253
Contra Costa,7,2010,Applications/restorations approved,533
Contra Costa,7,2010,Total applications/restorations on hand,2486
Contra Costa,7,2011,Applications denied,343
Contra Costa,7,2011,Applications/requests for restoration received,938
Contra Costa,7,2011,Applications/restorations approved,426
Contra Costa,7,2011,Total applications/restorations on hand,2037
Contra Costa,7,2012,Applications denied,393
Contra Costa,7,2012,Applications/requests for restoration received,1067
Contra Costa,7,2012,Applications/restorations approved,362
Contra Costa,7,2012,Total applications/restorations on hand,1740
Contra Costa,7,2013,Applications denied,450
Contra Costa,7,2013,Applications/requests for restoration received,1020
Contra Costa,7,2013,Applications/restorations approved,336
Contra Costa,7,2013,Total applications/restorations on hand,1577
Contra Costa,7,2014,Applications denied,405
Contra Costa,7,2014,Applications/requests for restoration received,994
Contra Costa,7,2014,Applications/restorations approved,382
Contra Costa,7,2014,Total applications/restorations on hand,1602
Contra Costa,7,2015,Applications denied,374
Contra Costa,7,2015,Applications/requests for restoration received,967
Contra Costa,7,2015,Applications/restorations approved,326
Contra Costa,7,2015,Total applications/restorations on hand,1532
Contra Costa,8,2010,Applications denied,488
Contra Costa,8,2010,Applications/requests for restoration received,1072
Contra Costa,8,2010,Applications/restorations approved,481
Contra Costa,8,2010,Total applications/restorations on hand,2400
Contra Costa,8,2011,Applications denied,385
Contra Costa,8,2011,Applications/requests for restoration received,1094
Contra Costa,8,2011,Applications/restorations approved,482
Contra Costa,8,2011,Total applications/restorations on hand,2209
Contra Costa,8,2012,Applications denied,432
Contra Costa,8,2012,Applications/requests for restoration received,1207
Contra Costa,8,2012,Applications/restorations approved,319
Contra Costa,8,2012,Total applications/restorations on hand,1845
Contra Costa,8,2013,Applications denied,414
Contra Costa,8,2013,Applications/requests for restoration received,1056
Contra Costa,8,2013,Applications/restorations approved,303
Contra Costa,8,2013,Total applications/restorations on hand,1650
Contra Costa,8,2014,Applications denied,378
Contra Costa,8,2014,Applications/requests for restoration received,999
Contra Costa,8,2014,Applications/restorations approved,383
Contra Costa,8,2014,Total applications/restorations on hand,1671
Contra Costa,8,2015,Applications denied,404
Contra Costa,8,2015,Applications/requests for restoration received,945
Contra Costa,8,2015,Applications/restorations approved,339
Contra Costa,8,2015,Total applications/restorations on hand,1581
Contra Costa,9,2010,Applications denied,459
Contra Costa,9,2010,Applications/requests for restoration received,1050
Contra Costa,9,2010,Applications/restorations approved,511
Contra Costa,9,2010,Total applications/restorations on hand,2313
Contra Costa,9,2011,Applications denied,355
Contra Costa,9,2011,Applications/requests for restoration received,1010
Contra Costa,9,2011,Applications/restorations approved,469
Contra Costa,9,2011,Total applications/restorations on hand,2163
Contra Costa,9,2012,Applications denied,412
Contra Costa,9,2012,Applications/requests for restoration received,938
Contra Costa,9,2012,Applications/restorations approved,301
Contra Costa,9,2012,Total applications/restorations on hand,1717
Contra Costa,9,2013,Applications denied,428
Contra Costa,9,2013,Applications/requests for restoration received,997
Contra Costa,9,2013,Applications/restorations approved,286
Contra Costa,9,2013,Total applications/restorations on hand,1751
Contra Costa,9,2014,Applications denied,431
Contra Costa,9,2014,Applications/requests for restoration received,1021
Contra Costa,9,2014,Applications/restorations approved,358
Contra Costa,9,2014,Total applications/restorations on hand,1767
Contra Costa,9,2015,Applications denied,421
Contra Costa,9,2015,Applications/requests for restoration received,851
Contra Costa,9,2015,Applications/restorations approved,313
Contra Costa,9,2015,Total applications/restorations on hand,1513
El Dorado,1,2010,Applications denied,62
El Dorado,1,2010,Applications/requests for restoration received,199
El Dorado,1,2010,Applications/restorations approved,83
El Dorado,1,2010,Total applications/restorations on hand,280
El Dorado,1,2011,Applications denied,88
El Dorado,1,2011,Applications/requests for restoration received,227
El Dorado,1,2011,Applications/restorations approved,90
El Dorado,1,2011,Total applications/restorations on hand,341
El Dorado,1,2012,Applications denied,107
El Dorado,1,2012,Applications/requests for restoration received,238
El Dorado,1,2012,Applications/restorations approved,86
El Dorado,1,2012,Total applications/restorations on hand,344
El Dorado,1,2013,Applications denied,86
El Dorado,1,2013,Applications/requests for restoration received,237
El Dorado,1,2013,Applications/restorations approved,61
El Dorado,1,2013,Total applications/restorations on hand,313
El Dorado,1,2014,Applications denied,100
El Dorado,1,2014,Applications/requests for restoration received,238
El Dorado,1,2014,Applications/restorations approved,59
El Dorado,1,2014,Total applications/restorations on hand,309
El Dorado,1,2015,Applications denied,55
El Dorado,1,2015,Applications/requests for restoration received,175
El Dorado,1,2015,Applications/restorations approved,59
El Dorado,1,2015,Total applications/restorations on hand,213
El Dorado,10,2010,Applications denied,86
El Dorado,10,2010,Applications/requests for restoration received,201
El Dorado,10,2010,Applications/restorations approved,81
El Dorado,10,2010,Total applications/restorations on hand,320
El Dorado,10,2011,Applications denied,98
El Dorado,10,2011,Applications/requests for restoration received,191
El Dorado,10,2011,Applications/restorations approved,76
El Dorado,10,2011,Total applications/restorations on hand,323
El Dorado,10,2012,Applications denied,109
El Dorado,10,2012,Applications/requests for restoration received,248
El Dorado,10,2012,Applications/restorations approved,87
El Dorado,10,2012,Total applications/restorations on hand,337
El Dorado,10,2013,Applications denied,119
El Dorado,10,2013,Applications/requests for restoration received,197
El Dorado,10,2013,Applications/restorations approved,70
El Dorado,10,2013,Total applications/restorations on hand,341
El Dorado,10,2014,Applications denied,69
El Dorado,10,2014,Applications/requests for restoration received,150
El Dorado,10,2014,Applications/restorations approved,79
El Dorado,10,2014,Total applications/restorations on hand,224
El Dorado,11,2010,Applications denied,83
El Dorado,11,2010,Applications/requests for restoration received,224
El Dorado,11,2010,Applications/restorations approved,92
El Dorado,11,2010,Total applications/restorations on hand,329
El Dorado,11,2011,Applications denied,85
El Dorado,11,2011,Applications/requests for restoration received,242
El Dorado,11,2011,Applications/restorations approved,68
El Dorado,11,2011,Total applications/restorations on hand,341
El Dorado,11,2012,Applications denied,98
El Dorado,11,2012,Applications/requests for restoration received,202
El Dorado,11,2012,Applications/restorations approved,58
El Dorado,11,2012,Total applications/restorations on hand,275
El Dorado,11,2013,Applications denied,87
El Dorado,11,2013,Applications/requests for restoration received,177
El Dorado,11,2013,Applications/restorations approved,48
El Dorado,11,2013,Total applications/restorations on hand,281
El Dorado,11,2014,Applications denied,49
El Dorado,11,2014,Applications/requests for restoration received,136
El Dorado,11,2014,Applications/restorations approved,53
El Dorado,11,2014,Total applications/restorations on hand,184
El Dorado,12,2010,Applications denied,90
El Dorado,12,2010,Applications/requests for restoration received,234
El Dorado,12,2010,Applications/restorations approved,88
El Dorado,12,2010,Total applications/restorations on hand,338
El Dorado,12,2011,Applications denied,98
El Dorado,12,2011,Applications/requests for restoration received,216
El Dorado,12,2011,Applications/restorations approved,74
El Dorado,12,2011,Total applications/restorations on hand,341
El Dorado,12,2012,Applications denied,77
El Dorado,12,2012,Applications/requests for restoration received,198
El Dorado,12,2012,Applications/restorations approved,74
El Dorado,12,2012,Total applications/restorations on hand,277
El Dorado,12,2013,Applications denied,91
El Dorado,12,2013,Applications/requests for restoration received,193
El Dorado,12,2013,Applications/restorations approved,79
El Dorado,12,2013,Total applications/restorations on hand,295
El Dorado,12,2014,Applications denied,77
El Dorado,12,2014,Applications/requests for restoration received,159
El Dorado,12,2014,Applications/restorations approved,66
El Dorado,12,2014,Total applications/restorations on hand,211
El Dorado,2,2010,Applications denied,84
El Dorado,2,2010,Applications/requests for restoration received,173
El Dorado,2,2010,Applications/restorations approved,77
El Dorado,2,2010,Total applications/restorations on hand,261
El Dorado,2,2011,Applications denied,75
El Dorado,2,2011,Applications/requests for restoration received,200
El Dorado,2,2011,Applications/restorations approved,69
El Dorado,2,2011,Total applications/restorations on hand,317
El Dorado,2,2012,Applications denied,77
El Dorado,2,2012,Applications/requests for restoration received,194
El Dorado,2,2012,Applications/restorations approved,64
El Dorado,2,2012,Total applications/restorations on hand,269
El Dorado,2,2013,Applications denied,91
El Dorado,2,2013,Applications/requests for restoration received,157
El Dorado,2,2013,Applications/restorations approved,70
El Dorado,2,2013,Total applications/restorations on hand,250
El Dorado,2,2014,Applications denied,81
El Dorado,2,2014,Applications/requests for restoration received,163
El Dorado,2,2014,Applications/restorations approved,57
El Dorado,2,2014,Total applications/restorations on hand,256
El Dorado,2,2015,Applications denied,60
El Dorado,2,2015,Applications/requests for restoration received,123
El Dorado,2,2015,Applications/restorations approved,52
El Dorado,2,2015,Total applications/restorations on hand,191
El Dorado,3,2010,Applications denied,64
El Dorado,3,2010,Applications/requests for restoration received,215
El Dorado,3,2010,Applications/restorations approved,88
El Dorado,3,2010,Total applications/restorations on hand,287
El Dorado,3,2011,Applications denied,95
El Dorado,3,2011,Applications/requests for restoration received,216
El Dorado,3,2011,Applications/restorations approved,107
El Dorado,3,2011,Total applications/restorations on hand,338
El Dorado,3,2012,Applications denied,83
El Dorado,3,2012,Applications/requests for restoration received,193
El Dorado,3,2012,Applications/restorations approved,69
El Dorado,3,2012,Total applications/restorations on hand,264
El Dorado,3,2013,Applications denied,69
El Dorado,3,2013,Applications/requests for restoration received,153
El Dorado,3,2013,Applications/restorations approved,40
El Dorado,3,2013,Total applications/restorations on hand,193
El Dorado,3,2014,Applications denied,88
El Dorado,3,2014,Applications/requests for restoration received,173
El Dorado,3,2014,Applications/restorations approved,71
El Dorado,3,2014,Total applications/restorations on hand,255
El Dorado,3,2015,Applications denied,70
El Dorado,3,2015,Applications/requests for restoration received,152
El Dorado,3,2015,Applications/restorations approved,56
El Dorado,3,2015,Total applications/restorations on hand,213
El Dorado,4,2010,Applications denied,48
El Dorado,4,2010,Applications/requests for restoration received,183
El Dorado,4,2010,Applications/restorations approved,75
El Dorado,4,2010,Total applications/restorations on hand,272
El Dorado,4,2011,Applications denied,78
El Dorado,4,2011,Applications/requests for restoration received,191
El Dorado,4,2011,Applications/restorations approved,75
El Dorado,4,2011,Total applications/restorations on hand,282
El Dorado,4,2012,Applications denied,94
El Dorado,4,2012,Applications/requests for restoration received,214
El Dorado,4,2012,Applications/restorations approved,63
El Dorado,4,2012,Total applications/restorations on hand,279
El Dorado,4,2013,Applications denied,63
El Dorado,4,2013,Applications/requests for restoration received,197
El Dorado,4,2013,Applications/restorations approved,42
El Dorado,4,2013,Total applications/restorations on hand,242
El Dorado,4,2014,Applications denied,92
El Dorado,4,2014,Applications/requests for restoration received,192
El Dorado,4,2014,Applications/restorations approved,66
El Dorado,4,2014,Total applications/restorations on hand,253
El Dorado,4,2015,Applications denied,58
El Dorado,4,2015,Applications/requests for restoration received,165
El Dorado,4,2015,Applications/restorations approved,55
El Dorado,4,2015,Total applications/restorations on hand,220
El Dorado,5,2010,Applications denied,58
El Dorado,5,2010,Applications/requests for restoration received,170
El Dorado,5,2010,Applications/restorations approved,83
El Dorado,5,2010,Total applications/restorations on hand,269
El Dorado,5,2011,Applications denied,71
El Dorado,5,2011,Applications/requests for restoration received,217
El Dorado,5,2011,Applications/restorations approved,82
El Dorado,5,2011,Total applications/restorations on hand,296
El Dorado,5,2012,Applications denied,71
El Dorado,5,2012,Applications/requests for restoration received,233
El Dorado,5,2012,Applications/restorations approved,62
El Dorado,5,2012,Total applications/restorations on hand,295
El Dorado,5,2013,Applications denied,93
El Dorado,5,2013,Applications/requests for restoration received,345
El Dorado,5,2013,Applications/restorations approved,48
El Dorado,5,2013,Total applications/restorations on hand,427
El Dorado,5,2014,Applications denied,70
El Dorado,5,2014,Applications/requests for restoration received,178
El Dorado,5,2014,Applications/restorations approved,64
El Dorado,5,2014,Total applications/restorations on hand,237
El Dorado,5,2015,Applications denied,64
El Dorado,5,2015,Applications/requests for restoration received,147
El Dorado,5,2015,Applications/restorations approved,65
El Dorado,5,2015,Total applications/restorations on hand,208
El Dorado,6,2010,Applications denied,47
El Dorado,6,2010,Applications/requests for restoration received,175
El Dorado,6,2010,Applications/restorations approved,76
El Dorado,6,2010,Total applications/restorations on hand,257
El Dorado,6,2011,Applications denied,88
El Dorado,6,2011,Applications/requests for restoration received,217
El Dorado,6,2011,Applications/restorations approved,60
El Dorado,6,2011,Total applications/restorations on hand,303
El Dorado,6,2012,Applications denied,76
El Dorado,6,2012,Applications/requests for restoration received,207
El Dorado,6,2012,Applications/restorations approved,84
El Dorado,6,2012,Total applications/restorations on hand,313
El Dorado,6,2013,Applications denied,83
El Dorado,6,2013,Applications/requests for restoration received,185
El Dorado,6,2013,Applications/restorations approved,57
El Dorado,6,2013,Total applications/restorations on hand,260
El Dorado,6,2014,Applications denied,57
El Dorado,6,2014,Applications/requests for restoration received,158
El Dorado,6,2014,Applications/restorations approved,66
El Dorado,6,2014,Total applications/restorations on hand,228
El Dorado,6,2015,Applications denied,54
El Dorado,6,2015,Applications/requests for restoration received,142
El Dorado,6,2015,Applications/restorations approved,50
El Dorado,6,2015,Total applications/restorations on hand,189
El Dorado,7,2010,Applications denied,57
El Dorado,7,2010,Applications/requests for restoration received,240
El Dorado,7,2010,Applications/restorations approved,74
El Dorado,7,2010,Total applications/restorations on hand,323
El Dorado,7,2011,Applications denied,61
El Dorado,7,2011,Applications/requests for restoration received,177
El Dorado,7,2011,Applications/restorations approved,67
El Dorado,7,2011,Total applications/restorations on hand,273
El Dorado,7,2012,Applications denied,88
El Dorado,7,2012,Applications/requests for restoration received,193
El Dorado,7,2012,Applications/restorations approved,63
El Dorado,7,2012,Total applications/restorations on hand,283
El Dorado,7,2013,Applications denied,100
El Dorado,7,2013,Applications/requests for restoration received,233
El Dorado,7,2013,Applications/restorations approved,47
El Dorado,7,2013,Total applications/restorations on hand,303
El Dorado,7,2014,Applications denied,69
El Dorado,7,2014,Applications/requests for restoration received,177
El Dorado,7,2014,Applications/restorations approved,66
El Dorado,7,2014,Total applications/restorations on hand,253
El Dorado,7,2015,Applications denied,89
El Dorado,7,2015,Applications/requests for restoration received,184
El Dorado,7,2015,Applications/restorations approved,58
El Dorado,7,2015,Total applications/restorations on hand,230
El Dorado,8,2010,Applications denied,63
El Dorado,8,2010,Applications/requests for restoration received,192
El Dorado,8,2010,Applications/restorations approved,78
El Dorado,8,2010,Total applications/restorations on hand,314
El Dorado,8,2011,Applications denied,75
El Dorado,8,2011,Applications/requests for restoration received,225
El Dorado,8,2011,Applications/restorations approved,72
El Dorado,8,2011,Total applications/restorations on hand,319
El Dorado,8,2012,Applications denied,93
El Dorado,8,2012,Applications/requests for restoration received,249
El Dorado,8,2012,Applications/restorations approved,85
El Dorado,8,2012,Total applications/restorations on hand,327
El Dorado,8,2013,Applications denied,87
El Dorado,8,2013,Applications/requests for restoration received,219
El Dorado,8,2013,Applications/restorations approved,40
El Dorado,8,2013,Total applications/restorations on hand,333
El Dorado,8,2014,Applications denied,54
El Dorado,8,2014,Applications/requests for restoration received,165
El Dorado,8,2014,Applications/restorations approved,56
El Dorado,8,2014,Total applications/restorations on hand,241
El Dorado,8,2015,Applications denied,103
El Dorado,8,2015,Applications/requests for restoration received,205
El Dorado,8,2015,Applications/restorations approved,55
El Dorado,8,2015,Total applications/restorations on hand,250
El Dorado,9,2010,Applications denied,89
El Dorado,9,2010,Applications/requests for restoration received,216
El Dorado,9,2010,Applications/restorations approved,75
El Dorado,9,2010,Total applications/restorations on hand,340
El Dorado,9,2011,Applications denied,83
El Dorado,9,2011,Applications/requests for restoration received,242
El Dorado,9,2011,Applications/restorations approved,79
El Dorado,9,2011,Total applications/restorations on hand,358
El Dorado,9,2012,Applications denied,95
El Dorado,9,2012,Applications/requests for restoration received,214
El Dorado,9,2012,Applications/restorations approved,67
El Dorado,9,2012,Total applications/restorations on hand,308
El Dorado,9,2013,Applications denied,84
El Dorado,9,2013,Applications/requests for restoration received,189
El Dorado,9,2013,Applications/restorations approved,70
El Dorado,9,2013,Total applications/restorations on hand,342
El Dorado,9,2014,Applications denied,54
El Dorado,9,2014,Applications/requests for restoration received,161
El Dorado,9,2014,Applications/restorations approved,59
El Dorado,9,2014,Total applications/restorations on hand,250
El Dorado,9,2015,Applications denied,116
El Dorado,9,2015,Applications/requests for restoration received,222
El Dorado,9,2015,Applications/restorations approved,63
El Dorado,9,2015,Total applications/restorations on hand,278
Fresno,1,2010,Applications denied,505
Fresno,1,2010,Applications/requests for restoration received,1501
Fresno,1,2010,Applications/restorations approved,880
Fresno,1,2010,Total applications/restorations on hand,2132
Fresno,1,2011,Applications denied,499
Fresno,1,2011,Applications/requests for restoration received,1733
Fresno,1,2011,Applications/restorations approved,1156
Fresno,1,2011,Total applications/restorations on hand,2376
Fresno,1,2012,Applications denied,459
Fresno,1,2012,Applications/requests for restoration received,1573
Fresno,1,2012,Applications/restorations approved,964
Fresno,1,2012,Total applications/restorations on hand,2111
Fresno,1,2013,Applications denied,551
Fresno,1,2013,Applications/requests for restoration received,1862
Fresno,1,2013,Applications/restorations approved,1081
Fresno,1,2013,Total applications/restorations on hand,2382
Fresno,1,2014,Applications denied,492
Fresno,1,2014,Applications/requests for restoration received,1845
Fresno,1,2014,Applications/restorations approved,860
Fresno,1,2014,Total applications/restorations on hand,2344
Fresno,1,2015,Applications denied,369
Fresno,1,2015,Applications/requests for restoration received,1282
